0.008:286.111,-620.167;844.172,614.185;211.768,-856.441;552.904,-472.274;347.514,-136.937;-61.8,479.781;-978.82,-633.717;-165.685,567.797;-141.636,-396.161;261.452,722.648;-682.974,-205.725;-123.814,-893.979;914.121,-504.746;-542.039,402.326;-919.431,787.957;867.672,692.129;583.178,-238.197;-83.59,595.508;449.812,488.449;582.263,372.845;336.528,-329.814;-988.22,-331.034;273.659,-846.797;744.743,-409.162;-272.5,490.28;-401.898,-196.631;917.112,742.302;-351.36,333.109;321.329,-294.046;750.053,766.35;-684.378,-246.132;-976.928,528.977;-125.156,476.302;755.669,936.216;280.007,-689.505;-849.605,699.026;766.35,346.355;358.135,-424.665;50.752,494.858;232.948,-146.763;675.039,-792.047;248.329,353.557;103.305,935.911;10.468,639.637;-489.12,510.971;806.757,121.616;-797.906,644.459;-372.845,-257.424;594.287,-276.04;95.675,934.568;
0.141:286.833,-621.669;842.884,615.242;210.884,-855.028;551.251,-472.485;347.757,-138.585;-60.178,480.164;-980.288,-634.505;-167.176,568.541;-142.615,-397.51;259.958,723.387;-681.991,-204.379;-125.323,-893.273;913.671,-503.141;-543.694,402.131;-918.006,787.094;867.128,690.554;584.174,-236.86;-82.78,594.051;448.146,488.491;583.737,372.068;335.783,-331.305;-987.103,-329.798;273.341,-845.161;746.155,-410.048;-271.535,491.639;-402.22,-198.266;916.886,743.953;-352.906,333.731;322.994,-293.961;751.352,767.599;-685.405,-247.444;-978.259,527.974;-124.681,477.9;754.092,935.677;278.909,-690.758;-847.973,699.367;766.288,348.02;359.768,-424.995;51.823,496.135;232.752,-148.419;676.404,-791.091;247.17,352.36;102.756,937.485;9.269,638.48;-487.454,510.992;806.02,123.111;-797.564,642.828;-372.031,-258.878;592.623,-275.938;94.167,933.861;
0.151:289.718,-627.67;837.734,619.464;207.351,-849.384;544.645,-473.327;347.075,-145.21;-53.696,481.691;-986.154,-637.657;-173.136,571.512;-146.525,-402.9;253.99,726.341;-678.066,-199;-131.356,-890.454;911.875,-496.729;-550.308,401.352;-912.309,783.645;864.982,684.248;588.152,-231.52;-79.656,588.168;441.489,488.659;589.629,368.966;332.809,-337.262;-982.638,-324.857;272.071,-838.625;751.794,-413.589;-267.681,497.069;-403.507,-204.799;915.982,750.55;-358.28,337.663;329.624,-293.435;757.355,770.491;-689.509,-252.688;-983.575,523.964;-122.181,484.072;748.39,932.235;274.521,-695.766;-841.455,700.729;766.037,354.674;366.295,-426.314;56.102,501.237;231.97,-155.031;681.859,-787.271;242.537,347.576;100.571,943.771;4.848,633.498;-480.976,509.455;803.077,129.084;-796.197,636.311;-368.778,-264.689;585.974,-275.793;88.138,931.033;
0.159:290.558,-629.417;835.948,620.186;206.322,-847.741;542.723,-473.572;346.87,-147.151;-51.81,482.135;-987.862,-638.574;-174.87,572.377;-147.663,-404.469;252.253,727.201;-676.923,-197.435;-133.112,-889.633;911.352,-494.862;-552.233,401.126;-910.651,782.642;863.938,682.639;589.309,-229.966;-78.747,586.456;439.552,488.708;591.424,368.199;332.224,-339.122;-981.339,-323.419;271.701,-836.722;753.435,-414.62;-266.559,498.649;-403.881,-206.701;915.719,752.47;-359.844,338.807;331.517,-293.235;759.118,771.34;-690.703,-254.214;-985.122,522.797;-121.351,485.825;746.731,931.233;273.243,-697.224;-839.558,701.125;765.964,356.611;368.195,-426.697;56.931,502.989;231.743,-156.956;683.446,-786.16;241.189,346.184;99.935,945.602;3.561,632.048;-479.09,509.007;802.22,130.823;-795.799,634.414;-367.832,-266.38;584.079,-275.865;86.383,930.21;
0.169:291.045,-631.054;834.58,621.214;205.425,-846.307;541.044,-473.786;346.69,-148.854;-50.14,482.513;-989.352,-639.375;-176.384,573.132;-148.656,-405.839;250.737,727.951;-675.926,-196.068;-134.645,-888.917;910.635,-493.313;-553.913,400.928;-909.204,781.765;862.684,681.503;590.32,-228.609;-77.954,584.962;437.86,488.751;592.981,367.534;331.715,-340.737;-980.204,-322.164;271.378,-835.061;754.868,-415.52;-265.579,500.029;-404.208,-208.361;915.49,754.147;-361.21,339.807;333.149,-293.013;760.663,772.084;-691.746,-255.547;-986.473,521.778;-120.631,487.379;745.282,930.359;272.128,-698.497;-837.902,701.471;765.901,358.302;369.854,-427.032;57.403,504.63;231.544,-158.636;684.832,-785.189;240.012,344.968;99.379,947.2;2.43,630.763;-477.444,508.616;801.472,132.341;-795.825,632.713;-367.005,-267.856;582.451,-276.04;84.851,929.492;
0.177:291.573,-632.824;833.104,622.325;204.446,-844.742;539.214,-474.019;346.497,-150.721;-48.308,482.92;-990.978,-640.248;-178.036,573.955;-149.74,-407.333;249.083,728.77;-674.838,-194.577;-136.317,-888.135;909.859,-491.637;-555.746,400.712;-907.625,780.809;861.094,680.622;591.422,-227.129;-77.088,583.332;436.016,488.797;594.678,366.809;331.161,-342.497;-978.967,-320.794;271.026,-833.249;756.431,-416.502;-264.511,501.534;-404.565,-210.172;915.239,755.975;-362.699,340.896;334.905,-292.713;762.353,772.898;-692.884,-257;-987.947,520.667;-119.766,489.016;743.702,929.405;270.912,-699.885;-836.041,701.44;765.831,360.146;371.663,-427.398;57.914,506.405;231.328,-160.469;686.344,-784.131;238.728,343.643;98.773,948.943;1.194,629.352;-475.648,508.19;800.657,133.996;-795.854,630.866;-366.104,-269.467;580.697,-276.647;83.18,928.708;
0.186:292.021,-634.328;831.85,623.268;203.613,-843.412;537.657,-474.217;346.34,-152.318;-46.741,483.268;-992.36,-640.99;-179.44,574.655;-150.661,-408.603;247.677,729.466;-673.913,-193.31;-137.738,-887.471;909.2,-490.213;-557.304,400.529;-906.283,779.997;859.569,680.19;592.36,-225.871;-76.352,581.946;434.447,488.837;596.121,366.193;330.69,-343.994;-977.915,-319.63;270.727,-831.709;757.759,-417.336;-263.603,502.813;-404.868,-211.711;915.026,757.53;-363.965,341.823;336.445,-292.449;763.613,773.902;-693.851,-258.236;-989.199,519.722;-119.032,490.404;742.359,928.594;269.878,-701.065;-834.471,701.414;765.772,361.714;373.201,-427.709;58.349,507.913;231.143,-162.027;687.629,-783.231;237.637,342.516;98.258,950.425;0.183,628.105;-474.121,507.828;799.963,135.403;-795.878,629.297;-365.338,-270.836;579.328,-277.269;81.759,928.042;
0.194:292.475,-635.85;830.58,624.222;202.771,-842.066;536.028,-474.286;346.188,-153.948;-45.229,483.872;-993.759,-641.742;-180.861,575.364;-151.593,-409.888;246.253,730.17;-672.977,-192.027;-139.177,-886.799;908.533,-488.771;-558.881,400.343;-904.963,779.04;858.005,680.024;593.308,-224.597;-76.006,580.393;432.859,488.877;597.582,365.569;330.213,-345.508;-976.85,-318.452;270.424,-830.15;759.104,-418.181;-262.684,504.108;-405.175,-213.27;914.811,759.103;-365.247,342.761;338.009,-292.181;764.885,774.914;-694.829,-259.486;-990.467,518.766;-118.284,491.855;741,927.774;268.831,-702.259;-832.882,701.388;765.712,363.301;374.757,-428.023;58.788,509.439;230.957,-163.604;688.93,-782.32;236.532,341.375;97.736,951.926;-0.82,626.867;-472.576,507.461;799.261,136.828;-795.902,627.71;-364.562,-272.222;577.891,-277.921;80.322,927.368;
0.203:292.791,-637.383;829.37,625.132;201.967,-840.782;534.508,-474.351;346.054,-155.515;-43.817,484.436;-995.094,-642.459;-182.217,576.04;-152.483,-411.114;244.896,730.842;-672.084,-190.804;-140.549,-886.157;907.897,-487.397;-560.385,400.166;-903.731,778.147;856.501,679.865;594.213,-223.382;-75.407,578.957;431.345,488.915;599.068,365.076;329.994,-347.051;-975.835,-317.328;270.135,-828.664;760.387,-418.986;-261.807,505.343;-405.264,-214.771;914.606,760.604;-366.469,343.655;339.502,-291.926;766.101,775.882;-695.763,-260.679;-991.676,517.854;-117.545,493.201;739.703,926.991;267.833,-703.398;-831.368,701.362;765.655,364.814;376.313,-428.068;59.207,510.894;231.033,-165.16;690.171,-781.451;235.478,340.287;97.239,953.356;-1.774,625.69;-471.103,507.112;798.592,138.187;-795.925,626.195;-363.822,-273.543;576.513,-278.546;78.95,926.725;
0.211:293.102,-638.887;828.15,626.049;201.157,-839.489;532.982,-474.415;345.931,-157.11;-42.399,485.003;-996.438,-643.181;-183.582,576.721;-153.379,-412.349;243.528,731.519;-671.184,-189.571;-141.931,-885.511;907.255,-486.012;-561.901,399.987;-902.494,777.25;854.984,679.704;595.125,-222.159;-75.062,577.411;429.82,488.954;600.526,364.592;329.779,-348.57;-974.812,-316.196;269.843,-827.166;761.679,-419.798;-260.924,506.588;-405.354,-216.292;914.398,762.115;-367.701,344.556;341.006,-291.668;767.33,776.86;-696.703,-261.881;-992.895,516.935;-116.792,494.607;738.397,926.202;266.828,-704.546;-829.842,701.337;765.598,366.339;377.847,-428.112;59.63,512.36;231.107,-166.693;691.421,-780.576;234.417,339.191;96.738,954.797;-2.667,624.375;-469.618,506.759;797.917,139.555;-795.949,624.67;-363.077,-274.875;575.124,-279.177;77.569,926.077;
0.221:293.396,-640.307;826.994,626.919;200.39,-838.262;531.536,-474.476;345.81,-158.639;-41.055,485.54;-997.713,-643.865;-184.877,577.366;-154.228,-413.521;242.231,732.161;-670.331,-188.402;-143.242,-884.898;906.648,-484.699;-563.338,399.818;-901.322,776.401;853.545,679.551;595.989,-220.998;-74.744,575.986;428.373,488.991;601.902,364.136;329.575,-350.005;-973.842,-315.122;269.567,-825.745;762.905,-420.567;-260.086,507.768;-405.439,-217.736;914.202,763.549;-368.869,345.411;342.432,-291.424;768.5,777.792;-697.595,-263.02;-994.05,516.064;-116.061,495.894;737.158,925.454;265.874,-705.634;-828.396,701.313;765.544,367.785;379.296,-428.153;60.03,513.751;231.178,-168.14;692.606,-779.746;233.41,338.151;96.263,956.164;-3.633,623.189;-468.21,506.425;797.278,140.853;-795.971,623.223;-362.37,-276.138;573.806,-279.775;76.259,925.463;
