0.008:682.974,-292.337;45.686,475.265;758.049,-998.718;319.132,866.512;-34.883,-523.667;-417.768,-372.845;-937.803,-442.915;-604.419,-905.393;-429.426,-794.061;329.752,-721.549;297.037,-892.88;-838.313,-977.294;-249.428,166.417;-816.156,-172.094;141.087,264.504;-185.461,-229.591;-352.031,202.368;695.853,-42.329;645.131,-224.83;468.429,955.565;571.093,-87.497;-591.662,-374.249;-869.32,-177.16;115.879,-188.452;516.831,-920.774;-558.519,-692.19;338.603,-416.242;-161.412,554.491;-55.635,-651.296;-671.377,-510.483;-172.887,-968.749;268.166,0.214;798.517,-839.9;102.573,408.857;620.777,990.539;297.281,-568.285;782.83,925.779;631.031,48.067;-891.598,-556.993;-959.532,716.239;883.724,460.25;203.101,375.958;191.992,81.698;-954.711,672.292;143.223,660.634;364.91,-159.764;-315.226,-884.884;752.983,-312.906;-317.179,-564.135;5.524,109.47;
0.136:684.216,-291.225;44.625,476.55;759.704,-998.914;320.655,865.835;-35.681,-522.204;-416.107,-372.979;-939.327,-443.59;-603.161,-906.486;-427.761,-793.986;328.66,-722.807;297.612,-894.444;-836.773,-977.932;-247.859,166.979;-815.289,-173.517;139.473,264.917;-186.853,-228.674;-351.877,204.028;694.227,-42.697;645.552,-223.217;470.092,955.464;570.238,-88.927;-590.214,-375.073;-867.88,-177.999;115.871,-186.785;515.562,-919.694;-559.018,-690.6;338.991,-414.621;-160.035,553.552;-57.165,-650.635;-672.544,-511.673;-172.987,-967.085;268.086,1.878;799.589,-841.176;101.167,409.752;621.62,991.977;298.17,-569.695;784.118,924.722;631.963,49.448;-892.872,-558.068;-957.974,716.829;885.357,460.582;202.113,377.3;190.636,82.667;-953.171,671.653;141.568,660.828;363.248,-159.892;-313.92,-883.848;752.736,-311.258;-318.462,-565.199;6.968,108.639;
0.146:689.177,-286.784;40.384,481.683;766.317,-999.699;326.739,863.128;-38.87,-516.359;-409.469,-373.514;-945.415,-446.288;-598.136,-910.854;-421.109,-793.687;324.293,-727.835;299.912,-900.693;-830.621,-980.481;-241.59,169.224;-811.286,-178.838;133.022,266.568;-192.413,-225.01;-351.259,210.658;687.732,-44.165;647.244,-216.775;476.739,955.06;566.82,-94.642;-584.426,-378.366;-862.127,-181.352;115.838,-180.126;510.491,-915.377;-561.013,-684.247;340.544,-408.146;-154.534,549.801;-63.278,-647.995;-677.207,-516.426;-173.383,-960.438;267.765,8.529;803.874,-846.272;95.552,413.332;624.99,997.72;301.722,-575.327;789.266,920.497;635.687,54.968;-897.961,-562.362;-951.746,719.187;891.883,461.911;198.166,382.663;185.217,86.537;-947.021,669.101;134.954,661.603;356.609,-160.403;-308.705,-879.708;751.75,-304.673;-323.587,-569.45;12.74,105.319;
0.154:690.365,-285.312;39.186,483.133;768.184,-999.92;328.457,862.364;-39.77,-514.708;-407.595,-373.666;-947.134,-447.05;-596.717,-912.088;-419.231,-793.603;323.06,-729.254;300.562,-902.457;-828.884,-981.201;-239.819,169.857;-809.848,-180.062;131.2,267.035;-193.983,-223.976;-351.085,212.53;685.898,-44.58;647.58,-214.912;478.615,954.946;565.855,-96.256;-582.792,-379.296;-860.502,-182.298;115.828,-178.246;509.06,-914.159;-561.576,-682.453;340.982,-406.317;-152.98,548.741;-65.004,-647.249;-678.524,-517.768;-173.495,-958.562;267.675,10.407;805.084,-847.712;93.967,414.342;625.941,999.342;302.595,-577.007;790.719,919.304;637.086,56.213;-899.398,-563.575;-949.988,719.853;893.725,462.286;197.052,384.177;183.687,87.63;-945.285,668.38;133.087,661.822;354.72,-160.55;-307.232,-878.539;751.471,-302.813;-325.034,-570.65;14.454,104.514;
0.162:690.858,-283.764;38.158,484.377;769.787,-1,000.11;329.932,861.708;-40.544,-513.291;-405.986,-373.795;-948.609,-447.704;-595.498,-913.147;-417.618,-793.53;322.002,-730.473;301.119,-903.972;-827.393,-981.818;-238.299,170.401;-808.619,-181.109;129.636,267.435;-195.331,-223.088;-350.935,214.137;684.324,-44.936;648.247,-213.454;480.227,954.848;565.026,-97.641;-581.638,-380.425;-859.107,-183.111;115.82,-176.632;507.83,-913.112;-562.059,-680.913;341.358,-404.748;-151.647,547.832;-66.487,-646.609;-679.654,-518.921;-173.591,-956.95;267.597,12.02;806.123,-848.947;92.606,415.21;626.758,1,000.734;303.34,-578.44;791.967,918.28;638.292,57.285;-900.632,-564.616;-948.478,720.424;895.307,462.608;196.095,385.478;182.374,88.568;-943.794,667.761;131.484,662.01;353.092,-160.675;-305.968,-877.535;751.232,-301.217;-326.276,-571.681;15.916,103.827;
0.171:691.087,-282.164;37.142,485.607;771.372,-1,000.298;331.389,861.059;-41.308,-511.89;-404.396,-373.924;-950.068,-448.351;-594.294,-914.194;-416.024,-793.458;320.955,-731.678;301.671,-905.47;-825.919,-982.429;-236.797,170.939;-807.404,-182.143;128.09,267.83;-196.664,-222.21;-350.788,215.726;682.767,-45.288;648.911,-212.003;481.82,954.751;564.208,-99.011;-580.497,-381.541;-857.729,-183.915;115.812,-175.036;506.615,-912.078;-562.537,-679.39;341.73,-403.196;-150.328,546.933;-67.951,-645.977;-680.772,-520.06;-173.686,-955.357;267.52,13.614;807.15,-850.169;91.26,416.068;627.566,1,002.11;304.076,-579.856;793.2,917.268;639.484,58.346;-901.851,-565.645;-946.986,720.99;896.87,462.926;195.149,386.763;181.075,89.496;-942.32,667.149;129.899,662.195;351.474,-160.797;-304.718,-876.543;750.996,-299.639;-327.504,-572.7;17.361,103.149;
0.179:691.22,-280.595;36.139,486.821;772.935,-1,000.484;332.828,860.419;-42.062,-510.508;-402.827,-374.05;-951.508,-448.989;-593.106,-915.227;-414.451,-793.388;319.923,-732.866;302.214,-906.947;-824.464,-983.032;-235.315,171.47;-806.205,-183.163;126.565,268.221;-197.978,-221.344;-350.642,217.294;681.232,-45.635;649.566,-210.572;483.391,954.655;563.4,-100.362;-579.372,-382.642;-856.369,-184.707;115.805,-173.462;505.416,-911.058;-563.008,-677.888;342.097,-401.665;-149.028,546.046;-69.397,-645.352;-681.874,-521.183;-173.78,-953.786;267.445,15.186;808.163,-851.374;89.933,416.914;628.362,1,003.468;304.802,-581.253;794.417,916.269;640.66,59.392;-903.055,-566.66;-945.514,721.547;898.413,463.24;194.216,388.031;179.794,90.411;-940.866,666.546;128.335,662.378;349.87,-160.912;-303.485,-875.564;750.762,-298.082;-328.716,-573.705;18.785,102.48;
0.187:691.351,-279.051;35.152,488.016;774.474,-1,000.666;334.244,859.789;-42.804,-509.148;-401.282,-374.175;-952.925,-449.616;-591.936,-916.243;-412.903,-793.318;318.907,-734.036;302.75,-908.402;-823.033,-983.625;-233.856,171.992;-805.025,-184.168;124.995,268.253;-199.273,-220.491;-350.498,218.837;679.72,-45.977;650.212,-209.163;484.938,954.561;562.604,-101.692;-578.074,-383.548;-855.029,-185.488;115.797,-171.912;504.236,-910.053;-563.472,-676.41;342.458,-400.158;-147.747,545.173;-70.819,-644.738;-682.96,-522.29;-173.873,-952.239;267.112,16.734;809.16,-852.56;88.626,417.747;629.147,1,004.805;305.517,-582.628;795.615,915.286;641.818,60.423;-904.239,-567.66;-944.064,722.096;899.932,463.549;193.297,389.279;178.533,91.311;-939.435,665.952;126.796,662.559;348.279,-161.021;-302.271,-874.6;750.533,-296.549;-329.909,-574.694;20.188,101.821;
0.196:691.479,-277.534;34.182,489.19;775.986,-1,000.846;335.635,859.17;-43.533,-507.811;-399.764,-374.297;-954.316,-450.233;-590.787,-917.242;-411.382,-793.25;317.909,-735.186;303.276,-909.83;-821.626,-984.208;-232.423,172.505;-803.865,-185.155;123.559,268.681;-200.544,-219.654;-350.357,220.353;678.235,-46.313;650.845,-207.779;486.508,954.598;562.135,-103.168;-576.821,-384.423;-853.714,-186.254;115.79,-170.39;503.077,-909.066;-563.928,-674.957;342.813,-398.677;-146.489,544.315;-72.217,-644.134;-684.026,-523.376;-173.963,-950.719;266.791,18.227;810.14,-853.725;87.342,418.566;629.917,1,006.118;306.123,-584.077;796.792,914.32;642.956,61.434;-905.402,-568.641;-942.641,722.635;901.423,463.853;192.395,390.505;177.294,92.196;-938.028,665.368;125.284,662.736;346.705,-161.121;-301.079,-873.654;750.307,-295.043;-331.081,-575.666;21.566,101.174;
0.204:691.605,-276.047;33.232,490.339;777.467,-1,001.021;336.998,858.564;-44.247,-506.502;-398.278,-374.417;-955.68,-450.838;-589.661,-918.221;-409.892,-793.182;316.931,-736.312;303.791,-911.23;-820.248,-984.779;-231.018,173.008;-802.729,-186.122;122.134,269.106;-201.977,-219.139;-350.219,221.838;676.78,-46.642;651.466,-206.423;488.009,954.633;561.681,-104.595;-575.597,-385.277;-852.425,-187.005;115.782,-168.898;501.941,-908.099;-564.375,-673.534;343.161,-397.227;-145.257,543.475;-73.586,-643.543;-685.07,-524.441;-174.052,-949.23;266.478,19.687;811.1,-854.867;86.084,419.367;630.672,1,007.405;306.702,-585.462;797.945,913.374;644.07,62.426;-906.542,-569.603;-941.246,723.163;902.885,464.151;191.511,391.706;176.08,93.063;-936.651,664.796;123.803,662.909;345.206,-161.216;-299.911,-872.727;750.086,-293.568;-332.229,-576.619;22.916,100.54;
