0.008:53.987,-433.088;269.753,-226.905;-965.575,215.552;-58.199,-791.62;750.786,-953.124;566.454,114.902;960.57,-767.51;585.314,-911.069;-132.786,496.811;997.497,-680.41;907.224,506.272;-515.549,-35.615;196.631,278.664;-211.035,-236.732;76.144,-701.102;284.707,-921.567;-809.259,-970.519;675.405,-452.437;542.345,502.976;760.43,-462.63;-47.945,684.195;203.711,586.108;371.136,-710.746;-755.12,-979.064;475.753,749.321;-711.6,-60.03;985.656,-994.263;-689.993,-256.569;-857.967,-173.864;-983.886,404.279;783.868,325.785;695.792,-335.734;458.418,384.747;700.308,343.303;-994.385,-353.374;490.158,949.4;-948.363,786.798;185.705,777.154;-149.632,737.785;558.702,-318.156;-89.816,559.252;403.485,-282.876;843.562,-360.393;-775.872,822.993;876.156,917.844;175.634,-247.78;-545.579,811.579;-803.705,423.078;-612.354,540.391;-730.399,884.518;
0.134:52.523,-433.885;268.156,-227.382;-964.235,216.543;-58.179,-793.286;751.817,-951.814;564.87,114.384;959.577,-766.172;586.858,-911.699;-131.554,495.688;995.851,-680.15;905.558,506.232;-516.889,-34.624;196.358,280.309;-209.904,-237.956;74.707,-700.256;285.645,-922.945;-809.858,-972.074;674.521,-453.85;540.71,502.648;759.95,-464.226;-46.993,682.826;202.62,584.848;370.357,-712.219;-756.19,-980.342;474.124,749.67;-713.176,-59.489;983.99,-994.314;-691.553,-257.157;-856.738,-174.99;-984.511,402.733;782.663,324.634;694.446,-336.717;457.813,383.194;699.067,342.191;-992.732,-353.161;488.495,949.289;-947.305,785.509;187.094,778.075;-148.514,736.549;558.227,-316.558;-88.722,557.995;402.069,-283.755;841.975,-360.902;-777.129,821.898;877.822,917.819;177.065,-246.926;-546.82,812.692;-802.919,421.608;-613.388,541.698;-731.218,885.97;
0.143:46.674,-437.067;261.776,-229.288;-958.88,220.5;-58.099,-799.945;755.936,-946.582;558.541,112.314;955.607,-760.825;593.023,-914.214;-126.736,491.092;989.274,-679.111;898.901,506.073;-522.242,-30.663;195.269,286.878;-205.384,-242.845;68.969,-696.878;289.39,-928.451;-812.252,-978.288;670.989,-459.494;534.181,501.341;758.032,-470.603;-43.192,677.359;198.259,579.816;367.248,-718.107;-760.465,-985.447;467.613,751.067;-719.474,-57.326;977.335,-994.518;-698.074,-258.513;-851.827,-179.487;-987.005,396.559;777.849,320.033;689.068,-340.644;455.394,376.99;694.107,337.748;-986.127,-352.311;481.851,948.844;-943.08,780.363;193.368,780.303;-144.46,731.264;556.327,-310.176;-84.257,553.055;396.412,-287.267;835.634,-362.934;-782.151,817.526;884.48,917.721;182.784,-243.514;-551.775,817.14;-799.781,415.735;-617.52,546.92;-734.487,891.771;
0.152:45.096,-437.926;260.054,-229.803;-957.435,221.568;-58.078,-801.741;757.048,-945.171;556.833,111.756;954.536,-759.383;594.687,-914.892;-125.455,489.832;987.499,-678.831;897.104,506.031;-523.686,-29.595;194.975,288.65;-204.164,-244.165;67.421,-695.966;290.401,-929.937;-812.897,-979.965;670.035,-461.018;532.419,500.988;757.514,-472.324;-42.166,675.884;197.083,578.458;366.409,-719.696;-761.619,-986.824;465.856,751.443;-721.174,-56.743;975.539,-994.573;-699.869,-258.423;-850.502,-180.7;-987.678,394.893;776.549,318.792;687.454,-341.458;454.741,375.316;692.768,336.549;-984.345,-352.081;480.058,948.724;-941.94,778.974;195.061,780.905;-143.24,729.928;556.255,-308.389;-83.052,551.721;394.885,-288.215;833.923,-363.482;-783.507,816.346;886.277,917.694;184.327,-242.593;-553.112,818.341;-798.934,414.151;-618.635,548.329;-735.369,893.337;
0.16:43.677,-438.698;258.507,-230.265;-956.136,222.528;-58.059,-803.356;758.047,-943.901;555.298,111.254;953.573,-758.086;596.183,-915.502;-124.303,488.7;985.904,-678.579;895.49,505.992;-524.985,-28.634;194.711,290.244;-203.068,-245.351;65.874,-695.468;291.309,-931.272;-813.478,-981.472;669.179,-462.387;530.892,500.419;757.049,-473.87;-41.244,674.557;196.025,577.237;365.654,-721.125;-762.656,-988.063;464.276,751.782;-722.702,-56.218;973.924,-994.623;-701.486,-258.202;-849.311,-181.791;-988.283,393.396;775.382,317.676;686.012,-342.185;454.155,373.811;691.565,335.472;-982.743,-351.875;478.446,948.616;-940.915,777.725;196.583,781.445;-142.244,728.634;556.189,-306.775;-81.969,550.523;393.513,-289.066;832.384,-363.975;-784.725,815.285;887.892,917.67;185.714,-241.765;-554.314,819.419;-798.172,412.726;-619.637,549.596;-736.162,894.744;
0.169:42.274,-439.461;256.977,-230.722;-954.851,223.477;-58.04,-804.953;759.035,-942.647;553.78,110.757;952.622,-756.804;597.661,-916.105;-123.164,487.581;984.326,-678.33;893.893,505.954;-526.269,-27.684;194.45,291.819;-201.984,-246.523;64.354,-694.978;292.207,-932.592;-814.052,-982.962;668.331,-463.74;529.394,499.861;756.589,-475.399;-40.333,673.246;194.979,576.03;364.909,-722.537;-763.682,-989.287;462.715,752.117;-724.212,-55.7;972.328,-994.672;-703.07,-257.985;-848.133,-182.87;-988.882,391.915;774.227,316.573;684.586,-342.904;453.574,372.323;690.376,334.406;-981.159,-351.671;476.853,948.509;-939.902,776.491;198.088,781.98;-141.148,727.439;556.125,-305.18;-80.898,549.338;392.156,-289.908;830.864,-364.462;-785.929,814.237;889.489,917.647;186.932,-240.899;-555.502,820.486;-797.42,411.318;-620.628,550.848;-736.946,896.135;
0.177:40.769,-440.28;255.334,-231.213;-953.473,224.496;-58.019,-806.667;760.095,-941.3;552.151,110.224;951.6,-755.427;599.248,-916.753;-121.941,486.38;982.633,-678.062;892.18,505.913;-527.646,-26.665;194.169,293.51;-200.82,-247.782;62.722,-694.453;293.171,-934.009;-814.668,-984.562;667.422,-465.193;527.788,499.263;756.096,-477.041;-39.354,671.839;193.857,574.735;364.108,-724.052;-764.782,-990.601;461.039,752.476;-725.833,-55.143;970.615,-994.724;-704.768,-257.753;-846.869,-184.027;-989.524,390.326;772.988,315.389;683.056,-343.676;452.952,370.727;689.099,333.263;-979.46,-351.452;475.143,948.395;-938.815,775.166;199.703,782.554;-140.08,726.054;556.055,-303.467;-79.749,548.067;390.7,-290.812;829.232,-364.985;-787.222,813.112;891.202,917.621;188.492,-240.146;-556.778,821.631;-796.612,409.806;-621.691,552.192;-737.787,897.628;
0.186:39.402,-441.023;253.844,-231.658;-952.222,225.421;-58.001,-808.223;761.058,-940.078;550.672,109.741;950.673,-754.178;600.689,-917.34;-120.832,485.289;981.097,-677.82;890.624,505.876;-528.897,-25.739;193.915,295.045;-199.764,-248.924;61.241,-693.976;294.047,-935.296;-815.227,-986.014;666.597,-466.512;526.33,498.72;755.647,-478.531;-38.466,670.562;192.838,573.559;363.382,-725.428;-765.781,-991.793;459.518,752.802;-727.304,-54.638;969.06,-994.772;-706.309,-257.542;-845.722,-185.078;-990.107,388.884;771.863,314.314;681.666,-344.377;452.387,369.277;687.94,332.225;-977.916,-351.253;473.591,948.291;-937.828,773.964;201.169,783.074;-138.997,724.878;555.992,-301.913;-78.706,546.912;389.378,-291.633;827.75,-365.46;-788.395,812.09;892.758,917.598;189.895,-239.469;-557.935,822.67;-795.878,408.434;-622.657,553.412;-738.551,898.983;
0.195:37.967,-441.804;252.278,-232.126;-950.908,226.392;-57.981,-809.856;762.068,-938.794;549.12,109.233;949.699,-752.866;602.201,-917.957;-119.666,484.144;979.483,-677.565;888.991,505.838;-530.21,-24.768;193.648,296.657;-198.655,-250.124;59.686,-693.475;294.965,-936.647;-815.814,-987.538;665.73,-467.897;524.799,498.15;755.177,-480.095;-37.533,669.22;191.487,572.592;362.619,-726.873;-766.83,-993.046;457.921,753.145;-728.85,-54.107;967.427,-994.822;-707.928,-257.32;-844.517,-186.181;-990.719,387.369;770.682,313.186;680.208,-345.112;451.793,367.755;686.723,331.135;-976.296,-351.045;471.961,948.182;-936.791,772.701;202.708,783.621;-137.966,723.538;555.926,-300.28;-77.611,545.7;387.99,-292.495;826.194,-365.959;-789.627,811.017;894.392,917.574;191.367,-238.759;-559.151,823.762;-795.108,406.993;-623.671,554.693;-739.353,900.407;
0.203:36.66,-442.515;250.852,-232.552;-949.711,227.276;-57.963,-811.345;762.989,-937.625;547.705,108.77;948.812,-751.671;603.58,-918.52;-118.605,483.101;978.013,-677.333;887.503,505.802;-531.407,-23.882;193.404,298.125;-197.645,-251.217;58.27,-693.019;295.803,-937.877;-816.349,-988.927;664.941,-469.159;523.404,497.63;754.748,-481.52;-36.684,667.998;190.273,571.722;361.924,-728.189;-767.786,-994.187;456.465,753.457;-730.257,-53.624;965.939,-994.868;-709.403,-257.118;-843.419,-187.187;-991.276,385.989;769.606,312.157;678.737,-345.564;451.252,366.368;685.614,330.142;-974.82,-350.854;470.476,948.082;-935.847,771.55;204.111,784.119;-136.91,722.397;555.865,-298.793;-76.613,544.596;386.564,-293.072;824.777,-366.413;-790.75,810.04;895.88,917.552;192.708,-238.112;-560.259,824.756;-794.407,405.681;-624.594,555.861;-740.084,901.703;
0.211:35.383,-443.21;249.459,-232.968;-948.542,228.141;-57.946,-812.798;763.888,-936.483;546.323,108.318;947.945,-750.504;604.926,-919.069;-117.568,482.082;976.577,-677.106;886.05,505.767;-532.576,-23.018;193.166,299.559;-196.658,-252.285;56.886,-692.573;296.62,-939.079;-816.872,-990.284;664.17,-470.391;522.042,497.123;754.33,-482.913;-35.854,666.805;189.09,570.875;361.245,-729.474;-768.719,-995.301;455.044,753.762;-731.632,-53.152;964.486,-994.913;-710.843,-256.921;-842.347,-188.168;-991.821,384.641;768.555,311.153;677.336,-345.995;450.724,365.014;684.531,329.172;-973.378,-350.669;469.025,947.985;-934.924,770.427;205.481,784.606;-135.977,721.18;555.806,-297.341;-75.638,543.518;385.078,-293.397;823.392,-366.856;-791.846,809.085;897.334,917.53;194.017,-237.481;-561.341,825.727;-793.722,404.398;-625.496,557.001;-740.797,902.97;
